DEBUG:root:{TICK: 61, IP: 37, ADDR: 21, DATA: {'term': [<Opcode.DATA: 'data'>, 0]}, ACC: {'term': ['data', 0]}, SR: 0} LD_VAL 17
DEBUG:root:{TICK: 63, IP: 38, ADDR: 17, DATA: {'term': [<Opcode.DATA: 'data'>, 0]}, ACC: {'term': [<Opcode.DATA: 'data'>, 0]}, SR: 0} ADD 20
DEBUG:root:{TICK: 65, IP: 39, ADDR: 20, DATA: {'term': ['data', 3]}, ACC: {'term': ['data', 3]}, SR: 0} ST 17
DEBUG:root:{TICK: 67, IP: 40, ADDR: 17, DATA: {'term': ['data', 3]}, ACC: {'term': ['data', 3]}, SR: 0} JMP 23
DEBUG:root:{TICK: 68, IP: 23, ADDR: 17, DATA: {'term': ['data', 3]}, ACC: {'term': ['data', 3]}, SR: 0} LD_VAL 20
DEBUG:root:{TICK: 70, IP: 24, ADDR: 20, DATA: {'term': ['data', 3]}, ACC: {'term': ['data', 3]}, SR: 0} INC
DEBUG:root:{TICK: 71, IP: 25, ADDR: 20, DATA: {'term': ['data', 3]}, ACC: {'term': ['data', 4]}, SR: 0} ST 20
DEBUG:root:{TICK: 73, IP: 26, ADDR: 20, DATA: {'term': ['data', 4]}, ACC: {'term': ['data', 4]}, SR: 0} CMP 22
DEBUG:root:{TICK: 75, IP: 27, ADDR: 22, DATA: {'term': [<Opcode.DATA: 'data'>, 1000]}, ACC: {'term': ['data', 1]}, SR: 0} JE 41
DEBUG:root:{TICK: 76, IP: 28, ADDR: 22, DATA: {'term': [<Opcode.DATA: 'data'>, 1000]}, ACC: {'term': ['data', 1]}, SR: 0} LD_VAL 20
DEBUG:root:{TICK: 78, IP: 29, ADDR: 20, DATA: {'term': ['data', 4]}, ACC: {'term': ['data', 4]}, SR: 0} MOD 18
DEBUG:root:{TICK: 80, IP: 30, ADDR: 18, DATA: {'term': [<Opcode.DATA: 'data'>, 3]}, ACC: {'term': ['data', 1]}, SR: 0} CMP 21
DEBUG:root:{TICK: 82, IP: 31, ADDR: 21, DATA: {'term': [<Opcode.DATA: 'data'>, 0]}, ACC: {'term': ['data', 1]}, SR: 0} JE 37
DEBUG:root:{TICK: 83, IP: 32, ADDR: 21, DATA: {'term': [<Opcode.DATA: 'data'>, 0]}, ACC: {'term': ['data', 1]}, SR: 0} LD_VAL 20
